Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Mexico,7395257306.0,398087604.0,23.634501,-102.552784,128455567.0,66.0,1943950.0
Micronesia (country),15757031.0,39244.0,,,,,
Moldova,618788660.0,13066670.0,47.411631,28.369885,3435931.0,105.0,32850.0
Monaco,14349093.0,66504.0,43.750298,7.412841,36297.0,24360.0,1.0
Mongolia,934272292.0,2111005.0,46.862496,103.846656,3447157.0,2.0,1553560.0
Montenegro,247196251.0,2851185.0,42.708678,19.374390000000002,626485.0,47.0,13450.0
Montserrat,1031810.0,6686.0,16.742498,-62.187366,4386.0,44.0,100.0
Morocco,1365102597.0,18659461.0,31.791702,-7.09262,37840044.0,85.0,446300.0
Mozambique,239730026.0,2400165.0,-18.665695,35.529562,33897354.0,43.0,786380.0
Myanmar,656884895.0,20534282.0,21.916221,95.955974,54577997.0,84.0,653290.0
Namibia,180375182.0,4290278.0,-22.95764,18.49041,2604172.0,3.0,823290.0
Nauru,3568134.0,694.0,-0.522778,166.931503,12780.0,639.0,20.0
Nepal,1095843350.0,13433803.0,28.394857,84.124008,30896590.0,216.0,143350.0
Netherlands,7865588010.0,28076613.0,52.132633,5.291266,17618299.0,522.0,33720.0
New Caledonia,64325568.0,296827.0,-20.904305,165.618042,292991.0,16.0,18280.0
New Zealand,1637483040.0,2148848.0,-40.900557,174.885971,5228100.0,20.0,263310.0
Nicaragua,17151097.0,308735.0,12.865416,-85.207229,7046310.0,59.0,120340.0
Niger,10507807.0,368816.0,17.607789,8.081666,27202843.0,21.0,1266700.0
Nigeria,305850193.0,3790176.0,9.081999,8.675277,223804632.0,246.0,910770.0
Niue,465384.0,,-19.054445,-169.867233,1935.0,7.0,260.0
North Korea,,,40.339852,127.510093,26160821.0,217.0,120410.0
North Macedonia,356652663.0,10913282.0,41.608635,21.745275,2085679.0,83.0,25220.0
Northern Cyprus,,,35.1264,33.4299,,,
Northern Ireland,,,54.7877,-6.4923,,,
Northern Mariana Islands,11425044.0,34992.0,15.0979,145.6739,49796.0,108.0,460.0
Norway,1306038266.0,4399597.0,60.472024,8.468946,5474360.0,15.0,365268.0
Oceania,10549291822.0,21639456.0,,,,,
Oman,449234780.0,5355890.0,21.512583,55.923255,4644384.0,15.0,309500.0
Pakistan,1773749582.0,35751089.0,30.375321,69.345116,240485658.0,312.0,770880.0
Palau,4798937.0,6737.0,7.5149799999999995,134.58252,18058.0,39.0,460.0
Palestine,731735201.0,6346252.0,31.9522,35.2332,,,
Panama,1016450263.0,10232479.0,8.537981,-80.782127,4468087.0,60.0,74340.0
Papua New Guinea,45739581.0,648296.0,-6.314993,143.95555,10329931.0,23.0,452860.0
Paraguay,751522642.0,21052311.0,-23.442503,-58.443832,6861524.0,17.0,397300.0
Peru,4481344550.0,267655670.0,-9.189967,-75.015152,34352719.0,27.0,1280000.0
Philippines,4102131707.0,66763515.0,12.879721,121.774017,117337368.0,394.0,298170.0
Pitcairn,2692.0,,-24.703615,-127.439308,,,
Poland,6542223249.0,128711768.0,51.919438,19.145136,41026067.0,134.0,306230.0
Portugal,4879762372.0,29130485.0,39.399872,-8.224454,10247605.0,112.0,91590.0
Puerto Rico,978635966.0,5795442.0,18.220833,-66.590149,3260314.0,368.0,8870.0
Qatar,507962241.0,816673.0,25.354826,51.183884,2716391.0,234.0,11610.0
Reunion,406897046.0,836910.0,-21.115141,55.536384,,,
Romania,3285644092.0,72065917.0,45.943161,24.96676,19892812.0,86.0,230170.0
Russia,21020726368.0,401887919.0,61.52401,105.318756,144444359.0,9.0,16376870.0
Rwanda,136315977.0,1541776.0,-1.940278,29.873888,14094683.0,571.0,24670.0
Saint Barthelemy,4905780.0,4793.0,17.9,-62.8333,10994.0,524.0,21.0
Saint Helena,1310536.0,,-24.143474,-10.030696,5314.0,14.0,390.0
Saint Kitts and Nevis,5889512.0,41724.0,17.357822,-62.782998,,,
Saint Lucia,27262441.0,389407.0,13.909444,-60.978893,180251.0,295.0,610.0
Saint Martin (French part),11236740.0,50446.0,18.0708,-63.0501,,,
Saint Pierre and Miquelon,2657798.0,1381.0,46.8852,-56.3159,,,
Saint Vincent and the Grenadines,9134069.0,111424.0,12.984304999999999,-61.287228,,,
Samoa,12486990.0,22802.0,-13.759029,-172.104629,225681.0,80.0,2830.0
San Marino,21143669.0,149030.0,43.94236,12.457777,33642.0,561.0,60.0
Sao Tome and Principe,6676350.0,84885.0,0.18636000000000003,6.613081,,,
Saudi Arabia,946219903.0,11937121.0,23.885942,45.079162,36947025.0,17.0,2149690.0
Scotland,,,56.4907,-4.2026,,,
Senegal,98857944.0,2253766.0,14.497401,-14.452362,17763163.0,92.0,192530.0
